accession,domain,phylum,class,order,family,genus,species,Amino acid utilization,Aromatics degradation,Arsenic cycling,C1 metabolism,Carbon fixation,Chlorite reduction,Complex carbon degradation,Ethanol fermentation,Fatty acid degradation,Fermentation,Halogenated compound utilization,Hydrogenases,Nitrile hydration,Nitrogen cycling,Oxidative phosphorylation,Perchlorate reduction,Selenate reduction,Sulfur cycling,Thermophilic specific
GCA_000017645.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter autotrophicus,0,0,1,3,1,0,0,0,0,2,0,2,0,3,3,0,0,2,0
GCA_000018545.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii_A,0,0,0,3,0,0,0,0,0,2,0,0,1,5,4,0,0,1,0
GCA_000155695.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Pelagicoccus,Pelagicoccus sp000155695,0,0,0,1,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0
GCA_000306725.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrophilus,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
GCA_000307955.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Solidesulfovibrio,Solidesulfovibrio magneticus_A,0,0,0,0,0,0,0,0,0,2,0,4,0,2,2,0,0,3,0
GCA_000309865.1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000309865,0,0,0,2,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0
GCA_000309945.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,JSC-12,JSC-12 sp000309945,0,0,0,1,1,0,0,0,0,2,0,0,0,1,3,0,0,2,0
GCA_000332255.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Chlorogloeopsis,Chlorogloeopsis sp000332255,0,0,0,0,1,0,0,0,0,2,0,1,0,2,2,0,0,2,0
GCA_000380225.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Spirulinaceae,ESFC-1,ESFC-1 sp000380225,0,0,0,1,1,0,0,0,0,2,0,0,0,1,2,0,0,3,0
GCA_000410515.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia sp000410515,0,0,0,1,0,0,0,0,0,2,0,2,0,2,2,1,0,0,0
GCA_000421085.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium sp000421085,0,0,0,2,1,0,0,0,0,2,0,0,1,5,4,0,0,1,0
GCA_000499765.1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000499765,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
GCA_000504425.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris_C,0,0,0,0,2,0,0,0,0,1,0,2,0,0,3,0,0,1,0
GCA_000517005.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,Microvirga lupini,0,0,0,2,0,0,0,0,0,2,0,0,1,2,4,0,0,1,0
GCA_000681355.2,Bacteria,Bacillota_B,Desulfotomaculia,Desulfotomaculales,Nap2-2B,SCADC1-2-3,SCADC1-2-3 sp000681355,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,1,0
GCA_000739515.1,Bacteria,Moduliflexota,Moduliflexia,Moduliflexales,Moduliflexaceae,Moduliflexus,Moduliflexus flocculans,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0
GCA_000743525.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum sp000743525,0,0,2,0,1,0,0,0,0,2,0,2,0,2,2,1,0,3,0
GCA_000747095.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,Sulfuricurvum sp000747095,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,0
GCA_000769715.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfoprunum,Desulfoprunum sp000769715,0,0,0,0,0,0,0,0,0,2,0,3,0,1,2,0,0,4,0
GCA_000770645.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus,Desulfosporosinus sp000770645,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
GCA_000824785.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium plurifarium,0,0,0,2,1,0,0,0,0,2,0,0,1,2,4,0,0,1,0
GCA_000824825.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium sp000824825,0,0,0,3,1,0,0,0,0,2,0,1,1,2,4,0,0,2,0
GCA_000824845.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium sp000824845,0,0,0,2,0,0,0,0,0,2,0,0,1,2,3,0,0,2,0
GCA_000828835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Thioploca,Thioploca ingrica,0,0,0,0,1,0,0,0,0,2,0,2,0,5,1,0,0,4,0
GCA_000828975.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,GJ-E10,GJ-E10 sp000828975,0,0,0,0,2,0,0,0,0,2,0,2,0,2,3,0,0,2,0
GCA_000830175.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,FS08-3,FS08-3 sp000830175,0,0,0,0,1,0,0,0,0,2,0,1,0,2,1,1,0,1,0
GCA_000961575.1,Bacteria,Bacillota_B,Desulfotomaculia,Desulfotomaculales,Desulfallaceae,BRH-c8a,BRH-c8a sp000961575,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0
GCA_000961655.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfatitalea,Desulfatitalea sp000961655,0,0,2,0,0,0,0,0,0,2,0,2,0,5,2,1,1,4,0
GCA_000961745.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,BRH-c57,BRH-c57 sp000961745,0,0,0,3,1,0,0,0,0,2,0,2,0,4,3,0,0,4,0
GCA_000985875.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Neorhizobium galegae_C,0,0,0,1,0,0,0,0,0,2,0,0,1,3,4,0,0,1,0
GCA_001029295.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Acididesulfobacillus,Acididesulfobacillus sp001029295,0,0,1,0,0,0,0,0,0,2,0,4,0,1,1,0,1,4,0
GCA_001044195.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,Achromatium palustre,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,4,0
GCA_001314865.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Phormidesmis,Phormidesmis priestleyi_B,0,0,0,1,1,0,0,0,0,2,0,0,1,1,1,0,0,2,0
GCA_001462245.1,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibromonas,Fibromonas termitidis,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
GCA_001493195.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,BN30871,BN30871 sp001493195,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
